path,change_class,matches_upstream_blob,matches_fork_blob,resolution
backend/internal/repository/http_upstream_http2_keepalive_test.go,upstream-only,yes,no,exact upstream
backend/internal/repository/http_upstream_http2_ping_test.go,upstream-only,yes,no,exact upstream
backend/internal/repository/openai_referral_client.go,upstream-only,yes,no,exact upstream
backend/internal/repository/openai_referral_client_test.go,upstream-only,yes,no,exact upstream
backend/internal/repository/proxy_expiry_renewal_integration_test.go,upstream-only,yes,no,exact upstream
backend/internal/repository/proxy_inactive_backup_integration_test.go,upstream-only,yes,no,exact upstream
backend/internal/repository/proxy_repo.go,upstream-only,yes,no,exact upstream
backend/internal/repository/proxy_restore_probe_integration_test.go,upstream-only,yes,no,exact upstream
backend/internal/repository/redeem_reduction_lock_integration_test.go,upstream-only,yes,no,exact upstream
backend/internal/repository/redeem_reduction_remainder_integration_test.go,upstream-only,yes,no,exact upstream
backend/internal/repository/request_log_retention_integration_test.go,upstream-only,yes,no,exact upstream
backend/internal/repository/scheduler_cache.go,upstream-only,yes,no,exact upstream
backend/internal/repository/scheduler_cache_unit_test.go,upstream-only,yes,no,exact upstream
backend/internal/repository/simple_mode_startup_test.go,upstream-only,yes,no,exact upstream
backend/internal/repository/subscription_bulk_reset_postmerge_integration_test.go,fork-only,no,yes,retained fork
backend/internal/repository/subscription_daily_reset_lock_order_integration_test.go,fork-only,no,yes,retained fork
backend/internal/repository/subscription_daily_reset_postmerge_integration_test.go,fork-only,no,yes,retained fork
backend/internal/repository/subscription_daily_reset_repo.go,fork-only,no,yes,retained fork
backend/internal/repository/subscription_daily_reset_repo_integration_test.go,fork-only,no,yes,retained fork
backend/internal/repository/subscription_daily_reset_repo_unit_test.go,fork-only,no,yes,retained fork
backend/internal/repository/subscription_daily_reset_upgrade_review3_integration_test.go,fork-only,no,no,adapted custom integration
backend/internal/repository/subscription_daily_reset_v028_upgrade_integration_test.go,integration-only,no,no,adapted custom integration
backend/internal/repository/subscription_reset_review3_integration_test.go,fork-only,no,yes,retained fork
backend/internal/repository/usage_billing_repo.go,fork-only,no,yes,retained fork
backend/internal/repository/usage_billing_repo_unit_test.go,fork-only,no,yes,retained fork
backend/internal/repository/user_subscription_lock_test.go,fork-only,no,yes,retained fork
backend/internal/repository/user_subscription_repo.go,fork-only,no,yes,retained fork
backend/internal/repository/user_subscription_reset_version_unit_test.go,fork-only,no,yes,retained fork
backend/internal/repository/welfare_balance_outbox.go,fork-only,no,yes,retained fork
backend/internal/repository/welfare_balance_outbox_integration_test.go,fork-only,no,yes,retained fork
backend/internal/repository/welfare_operation_lookup.go,fork-only,no,yes,retained fork
backend/internal/repository/welfare_operation_lookup_integration_test.go,fork-only,no,yes,retained fork
backend/internal/repository/welfare_payment_repo.go,fork-only,no,yes,retained fork
backend/internal/repository/welfare_payment_repo_integration_test.go,fork-only,no,yes,retained fork
